StateAB,State,CityID,City,Last_name,First_name,Full_name,MayorID,Twitter_handle,Twitter_website,Race_White,Race_Black,Race_Hispanic,Race_Other,Gender_Male,Gender_Female,Gender_CM,,
CA,California,145,Chico,Morgan,Sean,Sean Morgan,145,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,146,Whittier,Vinatieri,Joe,Joe Vinatieri,146,joev4whittier,https://twitter.com/joev4whittier,1,0,0,0,1,0,M,,
CA,California,147,Newport Beach,Duffield,Marshall 'Duffy',Marshall 'Duffy' Duffield,147,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,148,San Leandro,Russo Cutter,Pauline,Pauline Russo Cutter,148,mayorcutter,https://twitter.com/mayorcutter,1,0,0,0,0,1,F,,
CA,California,149,Hawthorne,Vargas,Alex,Alex Vargas,149,Alex4Hawthorne,https://twitter.com/Alex4Hawthorne,0,0,1,0,1,0,M,,
CA,California,150,San Marcos,Desmond,Jim,Jim Desmond,150,jim_desmond,https://twitter.com/jim_desmond,1,0,0,0,1,0,M,,
CA,California,151,Citrus Heights,Miller,Steve,Steve Miller,151,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,152,Alhambra,Sham,Stephen K.,Stephen K. Sham,152,N/A,N/A,0,0,0,1,1,0,M,,
CA,California,153,Tracy,Rickman,Robert,Robert Rickman,153,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,154,Livermore,Marchard,John P.,John P. Marchand,154,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,155,Buena Park,Swift,Elizabeth 'Beth',Elizabeth 'Beth' Swift Ed.D.,155,beth4bpcouncil,https://twitter.com/beth4bpcouncil,1,0,0,0,0,1,F,,
CA,California,156,Lakewood,DuBois,Diane,Diane DuBois,156,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,157,Merced,Murphy,Mike,Mike Murphy,157,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,158,Hemet,Perciful,Michael,Michael Perciful,158,MichaelPerciful,https://twitter.com/MichaelPerciful,1,0,0,0,1,0,M,,
CA,California,159,Chino,Ulloa,Eunice M.,Eunice M. Ulloa,159,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,160,Menifee,Winter,Neil R.,Neil R. Winter,160,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,161,Lake Forest,Gardner,Jim,Jim Gardner,161,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,162,Napa,Techel,Jill,Jill Techel,162,JillTechel,https://twitter.com/JillTechel,1,0,0,0,0,1,F,,
CA,California,163,Redwood City,Bain,Ian,Ian Bain,163,N/A,N/A,0,0,0,1,1,0,M,,
CA,California,164,Bellflower,Schnablegger,Ron,Ron Schnablegger,164,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,165,Indio,Wilson,Michael H.,Michael H. Wilson,165,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,166,Tustin,Murray,Al,Al Murray,166,N/A,N/A,0,1,0,0,1,0,M,,
CA,California,167,Baldwin Park,Lozano,Manuel,Manuel Lozano,167,MayorLozanoBP,https://twitter.com/MayorLozanoBP,0,0,1,0,1,0,M,,
CA,California,168,Chino Hills,Rogers,Peter,Peter Rogers,168,PhotoMayor,https://twitter.com/PhotoMayor,1,0,0,0,1,0,M,,
CA,California,169,Mountain View,Siegel,Leonard,Leonard Siegel,169,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,170,Alameda,Herrera Spencer,Trish,Trish Herrera Spencer,170,TrishForMayor14,https://twitter.com/TrishForMayor14,1,0,0,0,0,1,F,,
CA,California,171,Upland,Stone,Debbie,Debbie Stone,171,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,172,Folsom,Miklos,Steve,Steve Miklos,172,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,173,San Ramon,Clarkson,William 'Bill',William 'Bill' Clarkson,173,mayorclarkson,https://twitter.com/mayorclarkson,1,0,0,0,1,0,M,,
CA,California,174,Pleasanton,Thorne,Jerry,Jerry Thorne,174,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,175,Lynwood,Solache,Jose Luis,Jose Luis Solache,175,JL_Solache,https://twitter.com/JL_Solache,0,0,1,0,1,0,M,,
CA,California,176,Union City,Dutra-Vernaci,Carol,Carol Dutra-Vernaci,176,UCMayorCarol,https://twitter.com/UCMayorCarol,1,0,0,0,0,1,F,,
CA,California,177,Apple Valley,Bishop,Art,Art Bishop,177,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,178,Redlands,Foster,Paul F.,Paul F. Foster,178,N/A,N/A,0,0,1,0,1,0,M,,
CA,California,179,Turlock,Soiseth,Gary,Gary Soiseth,179,garysoiseth,https://twitter.com/garysoiseth,0,0,1,0,1,0,M,,
CA,California,180,Perris,Vargas,Michael M.,Michael M. Vargas,180,PerrisMayor,https://twitter.com/PerrisMayor,0,0,1,0,1,0,M,,
CA,California,181,Manteca,DeBrum,Stephen 'Steve',"Stephen ""Steve"" DeBrum",181,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,182,Milpitas,Tran,Rich,Rich Tran,182,mayor_richtran,https://twitter.com/mayor_richtran,0,0,0,1,1,0,M,,
CA,California,183,Redondo Beach,Brand,Bill,Bill Brand,183,BillBrandRB,https://twitter.com/BillBrandRB,1,0,0,0,1,0,M,,
CA,California,184,Davis,Davis,Robb,Robb Davis,184,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,185,Camarillo,Craven,Charlotte,Charlotte Craven,185,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,186,Yuba City,Didbal,Preet,Preet Didbal,186,PreetDidbal2012,https://twitter.com/PreetDidbal2012,0,0,0,1,0,1,F,,
CA,California,187,Rancho Cordova,Budge,Linda,Linda Budge,187,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,188,Palo Alto,Kniss,Liz,Liz Kniss,188,LizKniss,https://twitter.com/LizKniss,1,0,0,0,0,1,F,,
CA,California,189,Yorba Linda,Hernandez,Eugene 'Gene',Eugene 'Gene' Hernandez,189,N/A,N/A,0,0,1,0,1,0,M,,
CA,California,190,Walnut Creek,Wedel,Justin,Justin Wedel,190,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,191,South San Francisco,Normandy,Liza,Liza Normandy,191,LizaNormandy,https://twitter.com/LizaNormandy,0,0,0,1,0,1,F,,
CA,California,192,San Clemente,Brown,Tim,Tim Brown,192,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,193,Pittsburg,Longmire,Pete,Pete Longmire,193,N/A,N/A,0,1,0,0,1,0,M,,
CA,California,194,Laguna Niguel,Gennawey,Elaine,Elaine Gennawey,194,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,195,Pico Rivera,Camacho,Gustavo V.,Gustavo V. Camacho,195,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,196,Montebello,Delgado,Vanessa,Vanessa Delgado,196,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,197,Lodi,Nakanishi,Alan,Alan Nakanishi,197,N/A,N/A,0,0,1,1,1,0,M,,
CA,California,198,Madera,Medellin,Andrew J.,Andrew J. Medellin,198,N/A,N/A,0,0,1,0,1,0,M,,
CA,California,199,Monterey Park,Lam,Stephan,Stephan Lam,199,N/A,N/A,0,0,0,1,1,0,M,,
CA,California,200,La Habra,Shaw,Tim,Tim Shaw,200,N/A,N/A,1,0,0,0,1,0,M,,
