FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),under5,5to9,10to14,15to17,18to24,25to34,35to44,45to54,55to64,65to74,75to84,plus85,totalPop,white,black,nativeAm,asian,pacIsl,other,twomore,employed,unemployed,medhhinc,gini
3.51004E+11,"New Bern city, NC; New Bern, NC Metro Area","New Bern city, North Carolina (part); New Bern, New Bern",nc,7.18,6.89,6.74,3.37,8.7,16.4,9.2,10.82,12.31,9.32,5.86,3.22,30075,56.92,31.82,0.38,5.94,0.02,2.05,2.86,89.43,10.57,41970,0.4585
3.51405E+11,"Newberry city, SC; Newberry, SC Micro Area","Newberry city, South Carolina (part); Newberry, Newberry",sc,8.63,7.45,5,2.76,15.53,12.42,10.19,11.69,10.5,7.86,3.86,4.13,10338,38.21,52.01,0.49,0.36,0,5.9,3.03,90.33,9.67,35656,0.4706
3.52202E+11,"New Castle city, IN; New Castle, IN Micro Area","New Castle city, Indiana (part); New Castle, New Castle",in,5.37,6.06,7.47,3.41,7.27,13.32,11.02,13.98,13.72,10.35,5.03,2.99,17634,94.43,2.07,0.61,0.44,0.11,0.18,2.17,88.35,11.65,34924,0.4548
3.52604E+11,"New Castle city, PA; New Castle, PA Micro Area","New Castle city, Pennsylvania (part); New Castle, New Castle",pa,6.03,6.12,6.14,4.14,7.79,11.98,12.29,13.45,13.74,9.13,5.34,3.85,22500,82.94,11.96,0,0.22,0,1.28,3.61,90.06,9.94,31557,0.4704
3.53001E+11,"Milford city (balance), CT; New Haven-Milford, CT Metro Area","Milford city (balance), Connecticut (part); New Haven-Milford, New Haven-Milford",ct,4.63,5.31,5.15,3.55,6.96,12.93,12.82,16.12,15.34,9.66,4.75,2.78,52005,89.78,2.69,0.07,4.89,0,0.93,1.63,93.37,6.63,81971,0.4298
3.53001E+11,"New Haven city, CT; New Haven-Milford, CT Metro Area","New Haven city, Connecticut (part); New Haven-Milford, New Haven-Milford",ct,5.98,6.36,6.35,3.31,15.71,20.26,11.74,11.06,8.75,5.94,3.08,1.47,130405,42.94,34.32,0.33,4.67,0.03,14.26,3.45,88.72,11.28,38126,0.5175
3.53802E+11,"Metairie CDP, LA; New Orleans-Metairie, LA Metro Area","Metairie CDP, Louisiana (part); New Orleans-Metairie, New Orleans-Metairie",la,6.05,5.57,4.96,3.3,7.58,15.56,12.5,13.34,13.41,9.44,5.44,2.84,144772,82.53,9.62,0.26,3.62,0,1.84,2.14,94.38,5.62,54176,0.4826
3.53802E+11,"New Orleans city, LA; New Orleans-Metairie, LA Metro Area","New Orleans city, Louisiana (part); New Orleans-Metairie, New Orleans-Metairie",la,6.09,5.95,5.35,3.16,10.2,18.45,12.7,12.91,13.04,7.24,3.35,1.57,382922,34.03,59.84,0.2,2.93,0.03,1.34,1.63,90.22,9.78,37488,0.5702
3.54204E+11,"Dover city, OH; New Philadelphia-Dover, OH Micro Area","Dover city, Ohio (part); New Philadelphia-Dover, New Philadelphia-Dover",oh,5.43,6.61,7.04,3.87,5.73,12.25,10.17,10.54,13.03,10.74,8.07,6.52,12886,93.98,1.62,0,0.78,0,1.04,2.58,96.4,3.6,47451,0.4484
3.54204E+11,"New Philadelphia city, OH; New Philadelphia-Dover, OH Micro Area","New Philadelphia city, Ohio (part); New Philadelphia-Dover, New Philadelphia-Dover",oh,5.57,7.13,5.76,4.15,9.51,13.49,10.79,13.7,13.03,8.97,5.99,1.92,17412,94.14,1.99,0.49,0.71,0,0.24,2.44,92.37,7.63,41753,0.4385
